"4","Constellation","4"
"8","Sun K5 (Red Giant)","8"
"12","Planet (Ice)","12"
"16","Stargate (Caldari System)","16"
"20","Kernite","20"
"24","Ring","24"
"28","Factory Folder","28"
"35","Pyerite","35"
"39","Zydrine","39"
"43","Antibiotics","43"
"50","Company Shares","50"
"54","Caldari Logistics Station","54"
"59","C-O-2","59"
"166","Clone Grade Gamma","166"
"181","Depleted Uranium S","181"
"185","EMP S","185"
"189","Depleted Uranium M","189"
"193","EMP M","193"
"197","Depleted Uranium L","197"
"201","EMP L","201"
"205","Nova Cruise Missile","205"
"209","Scourge Heavy Missile","209"
"213","Nova Light Missile","213"
"218","Lead Charge S","218"
"222","Antimatter Charge S","222"
"226","Lead Charge M","226"
"230","Antimatter Charge M","230"
"234","Lead Charge L","234"
"238","Antimatter Charge L","238"
"242","Standard S","242"
"246","Multifrequency S","246"
"250","Standard M","250"
"254","Multifrequency M","254"
"258","Standard L","258"
"262","Multifrequency L","262"
"266","Scourge Rocket","266"
"377","Small Shield Extender I","377"
"399","Small Shield Booster I","399"
"421","'Basic' Capacitor Recharger","421"
"440","5MN Microwarpdrive II","440"
"447","Warp Scrambler I","447"
"452","Dual Light Beam Laser I","452"
"456","Focused Medium Pulse Laser I","456"
"460","Dual Heavy Pulse Laser I","460"
"464","Tachyon Beam Laser I","464"
"485","150mm Light AutoCannon I","485"
"489","Dual 180mm AutoCannon I","489"
"493","720mm Howitzer Artillery I","493"
"497","1200mm Artillery Cannon I","497"
"503","Torpedo Launcher I","503"
"518","'Basic' Gyrostabilizer","518"
"522","'Micro' Cap Battery","522"
"527","Stasis Webifier II","527"
"561","75mm Gatling Rail I","561"
"565","150mm Railgun I","565"
"569","Heavy Ion Blaster I","569"
"573","Neutron Blaster Cannon I","573"
"578","Multispectrum Shield Hardener I","578"
"583","Condor","583"
"587","Rifter","587"
"591","Tormentor","591"
"595","Gallente Police Ship","595"
"599","Burst","599"
"603","Merlin","603"
"608","Atron","608"
"615","Immolator","615"
"619","Swordspine","619"
"623","Moa","623"
"627","Thorax","627"
"631","Scythe","631"
"635","Opux Luxury Yacht","635"
"641","Megathron","641"
"645","Dominix","645"
"651","Hoarder","651"
"655","Epithal","655"
"671","Erebus","671"
"683","Bantam Blueprint","683"
"687","Caracal Blueprint","687"
"691","Rifter Blueprint","691"
"785","Miner I Blueprint","785"
"803","Mjolnir Cruise Missile Blueprint","803"
"807","Nova Heavy Missile Blueprint","807"
"811","Scourge Light Missile Blueprint","811"
"819","125mm Gatling AutoCannon I Blueprint","819"
"823","280mm Howitzer Artillery I Blueprint","823"
"827","650mm Artillery Cannon I Blueprint","827"
"831","800mm Repeating Cannon I Blueprint","831"
"835","Dual Light Pulse Laser I Blueprint","835"
"839","Quad Light Beam Laser I Blueprint","839"
"843","Heavy Beam Laser I Blueprint","843"
"847","Mega Beam Laser I Blueprint","847"
"881","Proton S Blueprint","881"
"885","Phased Plasma S Blueprint","885"
"889","Proton M Blueprint","889"
"893","Phased Plasma M Blueprint","893"
"897","Proton L Blueprint","897"
"901","Phased Plasma L Blueprint","901"
"937","Inquisitor Blueprint","937"
"941","Incursus Blueprint","941"
"946","Burst Blueprint","946"
"950","Merlin Blueprint","950"
"955","Atron Blueprint","955"
"962","Immolator Blueprint","962"
"966","Swordspine Blueprint","966"
"970","Augoror Blueprint","970"
"974","Rupture Blueprint","974"
"978","Celestis Blueprint","978"
"985","Nereus Blueprint","985"
"989","Kryos Blueprint","989"
"994","Scorpion Blueprint","994"
"998","Typhoon Blueprint","998"
"1013","Small Shield Extender II Blueprint","1013"
"1033","Small Shield Booster II Blueprint","1033"
"1073","5MN Microwarpdrive II Blueprint","1073"
"1079","Warp Scrambler I Blueprint","1079"
"1099","Small Armor Repairer I Blueprint","1099"
"1105","Small Remote Capacitor Transmitter I Blueprint","1105"
"1113","Light Electron Blaster I Blueprint","1113"
"1117","Heavy Electron Blaster I Blueprint","1117"
"1121","250mm Railgun I Blueprint","1121"
"1125","425mm Railgun I Blueprint","1125"
"1130","Iron Charge S Blueprint","1130"
